Provenance,Exchange,Symbol_Pair,Type,Price,Volume,First Seen,Last Seen
BITFINEX,BTCUSD,BTCUSD,bid,0.2,452.7,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,40.0,452.53,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,452.48,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,452.33,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,100.12602255,452.3,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,1.27329548,451.98,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.015,451.61,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,451.58,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,5.0,451.1,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.7623,451.05,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,1.5,450.58,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,2.0,450.5,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,450.48,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,450.33,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,4.0,450.03,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,56.95,450.0,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,449.58,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.55931458,449.1,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,5.8,448.63,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.5,448.58,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,1.0,448.48,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,22.095,448.14,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,5.0,448.1,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,0.1,448.0,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,bid,1.45,447.7,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.133752,454.79,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-2.0,454.8,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-25.0,454.9,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-1.39296111,454.95,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.03947522,454.99,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-60.13945839,455.0,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-8.12865475,455.25,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.424,455.29,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-10.20298679,455.31,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.46,455.81,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-21.0,456.0,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-6.0,456.56,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-29.24632103,456.58,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.76,456.6,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-10.0,456.62,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.01,456.63,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-25.0,456.75,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.24,456.79,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-24.5,456.8,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-2.01046476,456.9,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-138.4138422,457.0,NULL,NULL
BITFINEX,BTCUSD,BTCUSD,ask,-0.01233333,457.07,NULL,NULL
